Title,Subtitle,Author,Publisher,Publication Date,Original Price,Discounted Price,Sales Index,Rating,Review Count,Tags,Image URL,URL
입상 교사만 아는 아무도 말해주지 않은 인성교육 연구대회 1등급의 비밀,"인성교육실천사례, 교총 현장교육연구대회 두 대회를 완벽 대비하는 입상 보고서 작성법",송경은,앤써북,2026년 01월,19800,17820,2919,10.0,6,,https://image.yes24.com/goods/174327620/L,https://www.yes24.com/product/goods/174327620
인공지능이 답할 때 교육은 무엇을 묻는가,AI가 채우지 못한 교육의 영토,함영기,에듀니티교육연구소(에듀니티),2026년 01월,20000,18000,3975,10.0,6,,https://image.yes24.com/goods/173183477/L,https://www.yes24.com/product/goods/173183477
한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 Claude Code 에이전트 실전 훈련!",조훈,길벗,2025년 09월,26000,23400,9036,8.9,19,#분철,https://image.yes24.com/goods/152379887/L,https://www.yes24.com/product/goods/152379887
LLM을 위한 프롬프트 엔지니어링,"LLM 구조 이해부터 프롬프트 전략, 대화형 에이전트 설계, 성과 평가까지",존 베리먼,제이펍,2026년 01월,28000,25200,2706,9.6,5,,https://image.yes24.com/goods/170504549/L,https://www.yes24.com/product/goods/170504549
AI 게임 개발 with 코덱스,"혼자서도 프로처럼 AI 팀원과 캐릭터 제작부터 음원, 코딩, 배포, 수익화까지",정윤지(유리링),한빛미디어,2026년 02월,32000,28800,840,10.0,3,,https://image.yes24.com/goods/177187498/L,https://www.yes24.com/product/goods/177187498
교사를 위한 패들렛 Padlet,기초부터 심화까지/학생참여형수업/샌드박스/패들렛AI/템플릿 및 기능별 수업 활용 사례,안익재,앤써북,2025년 03월,16800,15120,17106,10.0,47,,https://image.yes24.com/goods/143786416/L,https://www.yes24.com/product/goods/143786416
"2026 빠르게 따는 SQLD(1권(이론)+2권(빈출 족보+기출&모의고사) 분권, 웹 CBT(PC/모바일) 제공, 시험 직전 Live 빠따 특강)",SQL 개발자,이유성,골든래빗,2026년 01월,24000,21600,1452,10.0,15,,https://image.yes24.com/goods/174682218/L,https://www.yes24.com/product/goods/174682218
AI 디자인 활용백과,내가 원하는 이미지를 뽑기 위한 미드저니&챗GPT&나노바나나 디자인 워크북!,채시은,스마트북스,2026년 01월,25000,22500,1395,10.0,1,,https://image.yes24.com/goods/175122641/L,https://www.yes24.com/product/goods/175122641
AGI의 시대,"인간을 초월한 인공지능, AGI를 논하다",한상기,한빛미디어,2024년 11월,22000,19800,2436,9.5,19,#IT융합학과,https://image.yes24.com/goods/139591837/L,https://www.yes24.com/product/goods/139591837
요즘 바이브 코딩 코덱스 완벽 가이드,"인공지능 코딩, AI 에이전트, 프롬프트 엔지니어링, 컨텍스트 엔지니어링, AGENTS.md, PRD, 코덱스 클라우드, 수파베이스, Spec Kit 워크플로, 토큰 최적화, 배포, v0, 스킬, 고급 사용법, 오픈라우터",윤재원,골든래빗,2026년 02월,28000,25200,1245,10.0,17,,https://image.yes24.com/goods/175110068/L,https://www.yes24.com/product/goods/175110068
MCP 실전 활용 & 서버 개발 핵심 가이드,"MCP 기초와 서버 활용법부터 데이터 분석, AI 비서, 주식 거래를 위한 MCP 서버 구축까지",AI튜터랩,위키북스,2025년 11월,28000,25200,3012,10.0,1,,https://image.yes24.com/goods/162224477/L,https://www.yes24.com/product/goods/162224477
챗GPT 구구단,4060을 위한 가장 쉬운 AI 클래스,유경식(피치타이탄),여의도책방,2026년 01월,26000,23400,2514,9.7,14,,https://image.yes24.com/goods/174080422/L,https://www.yes24.com/product/goods/174080422
